15,we,英[wiː;wi] 美[wiː;wi],"pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
n. （We）人名；（缅）韦",""
16,this,英[ðɪs] 美[ðɪs],"pron. 这，这个；这样；今，本；……的这个；有个
adj. 这，这个（离说话人较近的）
adv. 这样地，这么
det. 这（指前面曾提及或暗指的人或物）； 这（指当前所处的地方或时间）；这（指即将要发生某事的时间）；这个（指说话或写字时使用的媒介）
n. (This) （法、美、印、巴）蒂斯（人名）",复数 these
17,do,英[duː;də] 美[duː;də],"v. 做，干，办（某事）；行动，表现；顺利进行，进展；从事（工作）；执行（任务）；学习，研究；解答，解决，算出；制作，做出；演出，编排（戏剧等）；仿效，模仿；完成，做好；供给，提供；走过，行过；以……速度行进；达到（一定销售额）；参观，游览，旅行；处理；适合，足够；煮制；欺骗；惩罚；（从某地方）盗窃；护理；（非正式）吸（毒）；（非正式）性交；度过（一段时间）；导致，引起；（非正式）痛打，杀死；生长；整理
aux. 与动词连用构成否定句和疑问句；用于构成疑问尾句；用于避免重复某一动词；用于强调主要动词；用于祈使句中表示礼貌；用于肯定或否定回答；用在倒装句中
n. 聚会，社交活动；要求，规定; C 大调音阶中的第一音；（口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情；（女子）发型
n. （Do）多（人名Dorothea和Dorothy的昵称）","复数 dos或do's
第三人称单数 does
现在分词 doing
过去式 did
过去分词 done"
18,about,英[əˈbaʊt] 美[əˈbaʊt],"adv. 大约；几乎；到处，各处；无所事事；周围，在……附近；无序地，凌乱地；朝相反方向
prep. 关于，对于；目的是；针对（问题）；忙于，从事于；对……表示（情绪或心态）；各处，四下；在……附近；（某人或某事物）具有（某种特性）；围绕
adj. 现成的，能得到的；即将（做……）的，快要（发生……）的 （be about to do sth.）；四处走动的
【名】 （About）（法）艾保特（姓氏）",""
19,from,英[frɒm;frəm] 美[frʌm;frəm],"prep. 从……起；从……开始；寄自，得自；来自；由……（制成）；（两地的距离）离；从；从……（到）；（使）免遭；由于；根据；与……（不同）；防；不在；从……来看；妨碍
n. （From）（美）弗罗姆（人名）",""
20,or,英[ɔː(r)] 美[ɔːr],"conj. （用以引出另一种可能性）或，或者，还是；（用于否定动词后）也不；（用于警告或忠告）否则，不然；（用于两个数字之间表示约略数目）大约；（用于引出解释性词语）或者说；（用于说明原因）不然，否则；（用于引出对比的概念）；<文>还是
n. （电子）（逻辑电路的）或（OR）；（纹章）金色，黄色
abbr. 俄勒冈州（Oregon）；手术室（operating room）；运筹学（operational research）；普通士兵（other ranks）
【名】 （Or）（中）柯，（柬）奥，（土、匈、土库、阿塞、瑞典）奥尔（人名）",""
21,but,英[bʌt;bət] 美[bʌt;bət],"conj. 而，相反；（用于表示歉意）但是；可是（用来提出异议）；除了；（与重复词连用，表示强调）
prep. 除了，除……外
adv. 仅仅，只是
n. 借口，托词
【名】 （But）（俄、罗）布特，（越）笔（人名）",""
22,by,英[baɪ] 美[baɪ],"prep.  由，被；通过，凭借……；相差；在……旁边；到……之前；抓着（身体或东西某个部位）；按照，依据；以……计；在……期间；在（某处）短暂停留；乘以，除以；以……名义（发誓）；就（本性、职业或出身）而言
adv. 经过",""
23,at,英[æt;ət] 美[æt;ət],"prep. 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲（某人……）
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；大气（atmosphere）；原子的（atomic）；气温（air temperature）",""
24,an,英[æn;ən] 美[æn;ən],"det. 一个（用于元音前）
art. 一（在元音音素前）",""
25,question,英[ˈkwestʃən] 美[ˈkwestʃən],"n. 问题，疑问；试题，题目；（待讨论或处理的）事情，议题；不确定，怀疑
v. 向……提出问题，盘问；对……提出质疑（异议），怀疑","复数 questions
第三人称单数 questions
现在分词 questioning
过去式 questioned
过去分词 questioned"
26,write,英[raɪt] 美[raɪt],v. 写作，编写；以写作为生；写道；写信；书写，写字；谱写（音乐作品）；编写（计算机程序）；将（计算机中的）数据写入（磁盘或其他储存媒体）；填写（表格、支票等），拟定；（笔）能写字；拼写；<加，南非>参加（笔试）；书写，手写（与铅印相对）；承保（保险单）,"第三人称单数 writes
现在分词 writing
过去式 wrote
过去分词 written或writ或wrote"
27,answer,英[ˈɑːnsə(r)] 美[ˈænsər],"v. 回答，答复；回复；接电话；应门；答（题）；回应，反击；满足，适合；与……相符，相配；解决（问题）
n. 回答，答复；答案；解决办法；回信，回函；接听，应门；相当的人，对应物","复数 answers
第三人称单数 answers
现在分词 answering
过去式 answered
过去分词 answered"
28,there,英[ðeə(r)] 美[ðer;ðər],"adv. 在那里；在那边；在那点上
int. 你瞧
n. 那个地方",""
29,can,英[kæn;kən] 美[kæn;kən],"v. （表示有能力做或能够发生）能，会；（表示可能性）可以，能；（用于请求）能，可以；（表示允许）可以；应该（表示某事该做或不该做）；（用于礼貌地提出帮忙）可以，能；把食品装罐保存；<美，非正式>解雇，开除；<美，非正式>停止，结束（某事）
n. 罐，听；（装液体、垃圾等带盖的）金属容器，塑料容器；<美，非正式>监狱；<美，非正式>厕所；臀部；驱逐舰；破坏者
【名】 （Can）（美）卡恩（人名）","复数 cans
第三人称单数 can或cans
现在分词 canning
过去式 could或canned
过去分词 canned"
30,not,英[nɒt] 美[nɑːt],"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）",""
31,one,英[wʌn] 美[wʌn],"num. 一；一个；一岁；一点钟
pron. 一个人；任何人，人们（表泛指）；那个人；（特指的）那种人
det. 一个（强调某人或某事）；一个（用于比较相似的人或物）；某个（用于不认识的人的名字前）
adj. 唯一的；一的
n. 一；一美元纸币
n. （One）（印、马、美）温（人名）",""
32,which,英[wɪtʃ] 美[wɪtʃ],"pron. 哪一个，哪一些；（指明事物）……的那个，……的那些；（进一步提供有关某事物的信息）那个，那些
det. 哪一个，哪一些；（指明事物）……的那个，……的那些；（进一步提供有关某事物的信息）那个，那些
adj. 哪一个，哪一些；无论哪个；（进一步提供有关某事物的信息）那个，那些",""
33,what,英[wɒt] 美[wʌt],"det. 什么；多么；多少
pron. 什么；多么；多少
adj. 什么；多么；何等
adv. 到什么程度，在哪一方面
int. 什么；多么",""
34,their,英[ðeə(r)] 美[ðer;ðər],"det. 他们的；她们的；它们的；用来指某个人，以代替 his 或 her
n. （Their）（英）蒂尔；（芬、瑞典）泰尔（人名）",""
35,your,英[jɔː(r);jə(r)] 美[jʊr;jər],det. 你的，你们的,""
36,use,英[juːz] 美[juːz],"v. 用，使用；使用（词语）；耗费，消费；利用（他人或某种情形）；服（药，尤指毒品）；需要；用（名字），自称；对待；用（洗手间或卫生间）（礼貌说法）
n. 使用；用途，用法；词义，说法；使用机会，使用权；（尤指思想，体力）运用能力；耗费，耗用；（经常）服用（毒品）；<法律，史>（尤指受委托代管人的）受益；（教堂，教区）特色礼拜仪式
【名】 （Use）（德）乌泽（人名）","复数 uses
第三人称单数 uses
现在分词 using
过去式 used
过去分词 used"
37,more,英[mɔː(r)] 美[mɔːr],"det. （数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；另外的，附加的
pron. （数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；多了的部分
adv. 更；（程度上）更强，更多；继续，再；又一次；还有，再者；额外地；更像（前者）地
adj. 更多的，更大的；额外的
【名】 【名】（More）人名；（英、法）莫尔；（意、西、以）莫雷",""
38,people,英[ˈpiːp(ə)l] 美[ˈpiːp(ə)l],"n. 人，人类；人们，大家（the people）；平民，老百姓（the people）；民族，种族（peoples）；（具有共同品质、兴趣等的）人员，团体；与某人有联系的人们（one's people）；<美，非正式>各位，诸位；<美>（审判中的）公诉人（the People）
v. 居住在，定居于；充满，充斥着（某种类型的人）","复数 people或peoples
第三人称单数 peoples
现在分词 peopling
过去式 peopled
过去分词 peopled"
39,read,英[riːd] 美[riːd],"v. 阅读，读懂；朗读；（在书籍、报纸等中）读到，看到；解读，（按某种方式）理解；看透（想法或心思）；读起来（给人以某种印象）；有……的字样，写着；换用，改作（用于订正讹误）；读取（磁盘中的信息）；（通过无线电）收听到，听明白；（测量仪器）指示，显示；看（度量仪器显示的数字）；攻读；将（议案或其他法令）提交立法机构
n. <英，非正式>阅读，阅读时间；<英，非正式>读物；<美>解释，阐明
adj. 博学的，有学问的
【名】 （Read）（英）里德（人名）","第三人称单数 reads
现在分词 reading
过去式 read
过去分词 read"
40,if,英[ɪf] 美[ɪf],"conj. （表条件）如果；（表假设）要是，假如；无论何时；虽然，即使；（用于间接疑问）是否；（用于礼貌问询）是否；当，每次；（与情态动词连用）表婉转客气；这不是……，要是……多好；或许不；就算；尽管
n. 条件，设想；不确定的情况",""
41,so,英[səʊ] 美[soʊ],"adv. 如此，这么；确是如此
conj. 所以；因此
pron. 这样
n. （So）人名；（柬）索",""
42,make,英[meɪk] 美[meɪk],"v. 制造；使变得，使成为；制定，拟定；做，作出（决定、估计等）；强迫；任命（某人担任某职或角色）；成为，适合；合计，等于；计算，估算；布置，整理；认为，估计；安排，组织；造成，引起；表现，描绘；挣钱，赚钱；（体育比赛，尤指足球）助攻得（分）；（尽力）赶往，到达；排成 （某图案）；使形成，留下（印记、洞等）；使成功，使圆满；<旧>达成（婚约）；（电子）接通（电路），闭合（电路）；（准备）朝（特定方向）走去；<美，非正式>求欢，诱奸；（桥牌、惠斯特牌等）赢（一墩牌）；打满（所叫牌的墩数），做成（合约）；洗（牌）；（潮）涨，（潮）退；<旧>似乎要开始行动
n. （机器、设备等的）品牌，型号；结构，构造；通电，接电
【名】  （Make）（塞、南非）马克（人名）","复数 makes
第三人称单数 makes
现在分词 making
过去式 made
过去分词 made"
43,some,英[sʌm;səm] 美[sʌm;səm],"det. 若干，一些；某个，某种；相当多，大量；少量的，不多的；了不起的，很不错的；不怎么样的，算不上……的
pron. 有些，一部分
adv. <美>有些，稍微；大约
【名】 （Some）（美、印）索梅（人名）",""
44,test,英[test] 美[test],"n. （书面或口头的）测验，考试；（医疗上的）检查，化验，检验；（对机器或武器等的）试验，检验；（对水、土壤、空气等的）检测，检验；（衡量能力或技能等的）测试，考验；医疗检查设备；化验结果；（常指板球、橄榄球的）国际锦标赛（Test）；准则，标准；（冶）烤钵，灰皿；（一些无脊椎动物和原生动物的）甲壳
v. 试验，测试；测验，考查（熟练程度，知识）；检测，检验（质量或含量）；检查（身体），（用试剂）化验；考验；尝，（触）试","复数 tests
第三人称单数 tests
现在分词 testing
过去式 tested
过去分词 tested"
45,all,英[ɔːl] 美[ɔːl],"det. 全部；每一个；极度，尽量；无论什么，任何；唯一，仅仅
adj. 全部的；每一个的；任何的；尽可能多的；全然是……的，完全表现出……的；（某一体征）显著突出的
adv. 完全地；各方，各选手；非常，太
pron. 所有，全部；唯一
n. 全部，所有
【名】 （All）（英、美、巴、加）奥尔（人名）",""
46,will,英[wɪl] 美[wɪl],"v. 将，将要；请（请求某人做某事）；总是，惯于；（表示对习惯性发生行为不满）老是，一直；可能，大概；叙述一般真理；愿意，乐意；必须，一定；（表示能力、容量等）能；想要（某物），希望；愿否，……好吗；（表示承诺或威胁）会，要；（表示强烈的意图或未来的决心）要，定要；希望，想要（某事发生）；（古时用语）意欲，渴望；凭意志促使……做某事；立遗嘱遗赠
n. 意志，决心，毅力；意愿，心愿；遗嘱；意旨，命令","复数 wills
第三人称单数 wills或will
现在分词 willing
过去式 willed或would
过去分词 willed或would"
47,think,英[θɪŋk] 美[θɪŋk],"v. 认为，觉得；用于礼貌地请某人做某事；（用于问句,表示生气或吃惊）；认为（是），以为（是），觉得（是）；思考，考虑，动脑子；想做，打算做；想起，记起，回忆起；猜想，设想，想像；（用于使话语不太肯定或较为婉转）；具有某种思维方式；想出，想到（主意）；琢磨，寻思；对……评价（很高）；关心，考虑，为……着想；想想（用于告诉或帮助他人记起某人或某事物）；想来，想想看（用于评论过去所做或经历过的事情现在看来不可思议、愚蠢或令人震惊）；（用来引出例子或进一步解释）考虑，想到（某方面、某主题）；料想，预料，预期；只想，一心想，对……着迷；边想边说出声来，自言自语
n. 想，思索，思考
adj. 思想的","第三人称单数 thinks
现在分词 thinking
过去式 thought
过去分词 thought"
48,time,英[taɪm] 美[taɪm],"n. （以分钟、小时、天等计量的）时间；（钟表所显示的）时间，钟点，时刻；（世界某一地区所计量的）时，时间；（某事发生或应该发生的）时间，时候；一段时间，某段日子；（可以用来做某事的）时间；时代，时期；当代，时代潮流（the times）；（以某种方式经历的）事件，时光；生命（期），期限；（某人生命中的）一段时期，一个阶段；次，回；倍；（完成赛跑或竞赛项目的）所用时间；（尤指足球的）比赛时间结束，终场；（棒球，美橄）暂停；（音乐的）拍子，节拍；（乐曲正确的）速度，节奏；（用于报刊名）时报（the Times）；<英>（酒吧）打烊时间；刑期；服役期；（规定的）工作时间；计时工资率；分娩时间；寿终之时；学徒期；时间老人（Time 或 Father Time）
v. 为……安排时间；把握（击球、射门等）的时机；为……计时，测定……所需的时间
conj. 乘以
adj. 定时的，定期的，分期的
【名】 （Time）（俄）季梅，（罗）蒂梅，（英）泰姆（人名）","复数 times
第三人称单数 times
现在分词 timing
过去式 timed
过去分词 timed"
49,get,英[ɡet] 美[ɡet],"v. 获得，得到；得（病），患（病）；准备（饭菜）；吃（饭）；变成，变得；使做（某事）；到达；移动，去；理解，明白；去取，去带来；搭乘，乘坐；接（电话），应（门铃）；买；开始做，开始有进展；与……通电话；得以做，有机会做；捕获，抓获；袭击，打伤，杀死；<非正式>使恼火；<非正式>使难过；挣得，赚得；开始有（感觉、想法等）；接收（电视广播信号）；遭受，受到（折磨）；达到（某一点或某一阶段）；受到（惩罚）；使困惑，难住；得出，计算出（结果）；<非正式>注意到；有，经历；穿（或脱）衣服；引发（特殊的反应）；具有（性能）；（设法）看到
n. <英，非正式>（说话人）讨厌（或鄙夷）的人；<旧>（动物的）后代","第三人称单数 gets
现在分词 getting
过去式 got
过去分词 got或gotten"
50,work,英[wɜːk] 美[wɜːrk],"n. 工作，职业；（花费体力或脑力做的）事情；活计；职责，工作内容；（作家、画家、音乐家等的）作品，著作；工作成果；工作所需的材料（或档案等）；工作地点；工作时间；作为，行动结果；（机器的）活动部件（the works）；<非正式>所有东西，全套物品（the works）；土木工程，建筑（works）；工厂（works）；善行，德行（works）；防御工事；（物理学）功；<非正式>整形手术；针线活，刺绣品
v. 工作，干活儿；从事体力（或脑力）劳动；从事……工作，在……工作；努力取得，力争；协助，帮助；（机器或设备）运转，运行；开动，操作（机器、装置等）；奏效，产生预期的效果；产生……作用；逐步移动，慢慢到达（某状态或位置）；（使）（身体某部位）抽动；（用某种材料）画画，创作；（通过切割、按压等）使成形，使定形；（常指政客或艺人）博得，赢得（众人的支持或欢心）；影响（某人或其情感），说服（work on/upon）；激发，刺激；<美>计算，算出；思考，动脑筋；以（某种假定或思想）为基础（或前提）；<非正式>（尤指不透过官方认可的方式或巧妙地）安排；耕种；开采（矿）；（不断调整航向以）顶风航行；缝制，绣制
adj. 适合工作时穿戴的；用于工作的；工作的，与工作有关的
【名】 （Work）（英、埃塞、丹、冰、美）沃克（人名）","复数 works
第三人称单数 works
现在分词 working
过去式 worked或wrought
过去分词 worked或wrought"
51,how,英[haʊ] 美[haʊ],"adv. 怎样，如何；（指状况、情况）好否，怎么样；（用于询问数量、程度）多少，怎么；（强调程度）多么，何等；（用于引出想要谈及的事实）
conj. 怎样，如何；以任何方式，无论用什么方法
n. 方式，方法
【名】 （How）（英）豪（人名）",""
52,give,英[ɡɪv] 美[ɡɪv],"v. 给，交给；赠送，赠与，送给；（为某人）提供，供给，供应；捐助，捐赠，捐款；（为购买某物或做某事而）支付，付款；将（时间、精力等）用于；使受惩罚；使染上（疾病等）；举办（娱乐活动或聚会）；表演，公开进行；做（动作）；使产生（某种感觉）；给（某人）打（电话）；给……评定（等级）；估计将持续（……时间）；裁定，判（球员或球所处位置）；伸长，弯曲；让步，妥协；使拥有（某一特性）；（以某种态度、情感等）对待，看待；把……归于某人；生产，产生，引起；表示一种可能的情况或状态；（把药等）注入，服入；允许；说出（或提出）（情况，论点）
n. 伸展性，弹性；适应（或顺应）能力，灵活性
【名】 （Give）（意）吉韦（人名）","第三人称单数 gives
现在分词 giving
过去式 gave
过去分词 given"
53,find,英[faɪnd] 美[faɪnd],"v. 找到，找回；发现，发觉；（经过研究）找出，查明；感到，认为；生长在某处，存在于某地；设法获得；开始有……；裁决，判决；自然到达，达到；鼓起（勇气），振作（精神）；（猎人，猎犬）发现猎物（尤指发现狐狸）
n. 被发现的人，发现物（尤指有价值的人或物）；发现狐狸
【名】 （Find）（丹）芬（人名）","复数 finds
第三人称单数 finds
现在分词 finding
过去式 found
过去分词 found"
54,take,英[teɪk] 美[teɪk],"v. 携带，拿走；带去，引领；把…...带到（另一个层次、层面等）；拿，取；移走，拿走；偷走，误拿；取材于，收集；攻占，控制；选中，买下；经常购买（某报纸或期刊）；吃，服用；减去；记录，摘录；照相，摄影；量取，测定；就（座）；以…...为例；接受，收取；接纳，接待（顾客、患者等）；遭受，经受；忍受，容忍；（以某种方式）对待，处理；理解，考虑；误以为；相信（某人说的话）；赢得（比赛、竞赛等）；产生（感情），持有（看法）；采取（措施），采用（方法）；做（某个动作; 和名词连用）；采用（形式），就任（职位）；花费，占用（时间）； 需要，要求；使用；穿（特定尺码的鞋或衣物）；容纳；授课；学习，选修（课程）；参加（考试或测验）；走（某条路线），乘坐（交通工具）；跨过，跳过；踢，掷；举行投票，进行民意调查；成功，奏效；（语法）需带有（某种结构）
n.  （一次拍摄的）镜头，场景；收入量；<美>（入场券的）售得金额；看法，态度；（印刷）一次排版量","复数 takes
第三人称单数 takes
现在分词 taking
过去式 took
过去分词 taken"
55,other,英[ˈʌðə(r)] 美[ˈʌðər],"adj. （表示与已知的人或事物不同）别的，另外的；（表示在与已知的人或事物同一类中）别的，另外的；（两个中）另一的；（一组人或事物中）其余的；（用于列举之后）其他的；对面的，相反方向的；（泛指）别（人）的，他（人）的；最近的，前不久的
pron. （表示与已知的人或事物不同）另外；（表示在与已知的人或事物同一类中）另外；（两个中）另一个（the other）；其余的人（或事物）（the others）；（用于列举之后）其他；对面，相反方向（the other）；<非正式>性交（the other）
v. 将……看作异类，以异类对待",复数 others
56,when,英[wen] 美[wen],"adv. 什么时候；什么情况下；什么场合下；（用于时间的表达方式之后）在那时，其时；当时，当场
pron. 什么时候；何时
conj. 在……时候；在……之后；在任何……时候；一……就；考虑到，既然；虽然，然而，可是
n. 时间，时候；日期；场合",""
57,year,英[jɪə(r)] 美[jɪr],n. 年，日历年；年，一年时间；与某事相关的一年，年度；学年；年级，某年纪的学生；年龄，年纪，岁；很久，好长时间；年代，时代；年级，某年级的学生,复数 years
58,information,英[ˌɪnfəˈmeɪʃ(ə)n] 美[ˌɪnfərˈmeɪʃ(ə)n],n. 消息，资料，情报；（计算机程序储存和使用的）数据，信息；问讯处，信息台；（向治安法院提起的）控告，起诉；知识,""
59,go,英[ɡəʊ] 美[ɡoʊ],"v. 去，走；（尤指与某人）去（某处或出席某项活动）；可能要，打算做；移动，行走；在移动中做；做某个动作；离开；（为某目的）去（某处）；去做（某事）；被发送，被传递；参加（电视或电台节目）；通向，延伸到；上升；放在（通常的位置上）；放得进，适合；相配，协调；除尽，除；进行，进展；被接受，被允许；开始做（某事），进入（某种状态）；变为，变得（尤指朝坏的方面）；处于（尤指令人不快的状况）；（故事、歌词等）内容是；发出（某种声音）；发出信号（或警告）；<非正式>说；开始（活动）；<非正式>走开，滚开；参与（表示对所提到行为不赞成）；运转，工作；停止正常运转；消失，不见；得辞掉，被扔掉；（官能）衰退，下降；死亡；用掉，花掉；卖掉，归于；出价购买；促成，显示；流逝，消逝；继续，持续；<非正式>上厕所；（某人的话）算数；（决定、判决等）对…...不利；取得（某成绩、比分等）
n. （游戏或活动中）轮到的机会；尝试；<英>精力，活力；<美>某事顺利进行；围棋
adj. <非正式>运行正常的","复数 goes
第三人称单数 goes
现在分词 going
过去式 went
过去分词 gone或been"
60,should,英[ʃʊd;ʃəd] 美[ʃʊd;ʃəd],aux. 应该；（提出或征询建议）该，可以；（表示预期）应该会，可能；（表示与预期相反）本应，本当；（与I或we连用代替would，表示虚拟结果）就将；（表示可能）假如，万一；将（用作shall的过去式）；（用于that引导的、表示建议或安排的从句中）应该；（用于许多表示感情的形容词后的that从句中）竟然；（与I和we连用，表示客气地请求）；（与I和we连用，表示没有把握）；（表示十分赞同）；（表示拒绝、恼怒或惊奇）；（表示强调有趣、惊讶或印象深刻）真该,""
61,score,英[skɔː(r)] 美[skɔːr],"n. （游戏或比赛中的）得分，比分；（测验的）评分，分数；<非正式>实情，真相（the score）；<非正式>毒品到手；<非正式>犯罪所得；<正式>二十，约二十个（复数 score）；<正式>很多，大量（scores）；（一首乐曲的）总谱；（电影或戏剧的）配乐；刻痕，划痕；宿怨；<史>（尤指酒馆中有对应顾客名字刻痕的）往来账户
v. （在运动、比赛或考试中）得（分）；评分，打分数；（在游戏或比赛中）记分；（棒球）使（队友）得分；<非正式>（使）成功，赢得；<英，非正式> （尤指在辩论等活动中机灵地）驳倒，挫败（score off）；<非正式>购买，弄到（毒品）；<美，非正式>得到（某事物）；<非正式>（通常指与新认识的人）发生性关系；为……写总谱，为……配乐；（在表面上）刻痕，画线；画掉，删去（score sth. out/through）；检测（实验细胞、菌落等），并记录有某种特征的数量
【名】  （Score）（英）斯科尔（人名）","复数 scores或score
第三人称单数 scores
现在分词 scoring
过去式 scored
过去分词 scored"
62,well,英[wel] 美[wel],"adv. 顺利地，令人满意地；熟练地，技术好地；妥善地，恰当地；赞扬地，赞许地；有益地，有利地；容易地；友善地；有充分理由，合理地；很，非常；富裕地，舒适地；完全地，充分地；大大地，远远地；（程度或标准）多少，怎样
adj. 健康的；令人满意的；明智的，可取的
n. 水井，油井，气井；楼梯井，电梯井道；<英>（法庭中的）律师席；韦尔斯（有矿泉的地方）（Wells）；（储液体的）凹槽；（大量）来源，源泉；吧台酒架；廉价酒；（物理）势阱，电位阱
int. （用于表示想要开口说话）嗯，好；唔，嗯，哦（表示对要说的话不确定）；好吧，算了（对不愉快的事表示接受）；好啦，哎呀（用于劝说或让人不要生气、焦虑等）；嗳（表示生气或不赞成）；怎么样呢，哎（表示等待回答或行动）；好啦（用于结束活动或对话）；（停顿后继续交谈）唔，这个；（表示惊奇、愤怒或宽慰）哎呀，哟，啊；噢（用于纠正刚才说过的话）
v. （液体）流出，涌出；（感情）涌上，涌起
【名】 （Well）（英、德、荷）韦尔（人名）","复数 wells
第三人称单数 wells
现在分词 welling
过去式 welled
过去分词 welled
比较级 better
最高级 best"
63,than,英[ðæn;ðən] 美[ðæn;ðən],"conj. （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）
prep. （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）
n. （Than）（越）丹（人名）",""
64,he,英[hiː;hi] 美[hiː;hi],"pron. 他；（泛指的）人；上帝
n. 男性，男子；雄性动物
n. （He）（中、美、丹）赫（人名）",复数 hes或they
65,who,英[huː] 美[huː],pron. 谁；什么人,""
66,part,英[pɑːt] 美[pɑːrt],"n. 部分；某物的部分（局部）；（书、戏剧、电视剧等的）部，篇，集；（动植物的）器官，部位；部件，零件；成员，参与人员；（世界、国家或城镇等的）区域，地区；（头发的）分缝；（角色的）台词和动作，角色；（在活动或事件中的）作用；（乐器或声音的）声部，音部；（等）份；<古>能力
v. （使）分开，（使）分离；分别；分手；放弃，移交；给（头发）分缝
adv. 既有……又有……（part sth., part sth.）；不完全地，部分地
adj. 部分的，不完全的
【名】 （Part）(英、瑞典）帕特，（泰）巴，（法）帕尔（人名）","复数 parts
第三人称单数 parts
现在分词 parting
过去式 parted
过去分词 parted"
